delta_eta_center,delta_phi_center,pair_counts
-1.2991206585437602,-1.7016960206944713,576.0
-1.2991206585437602,-1.6144295580947547,566.0
-1.2991206585437602,-1.5271630954950384,609.0
-1.2991206585437602,-1.439896632895322,516.0
-1.2991206585437602,-1.3526301702956054,540.0
-1.2991206585437602,-1.2653637076958888,579.0
-1.2991206585437602,-1.1780972450961724,531.0
-1.2991206585437602,-1.090830782496456,553.0
-1.2991206585437602,-1.0035643198967397,542.0
-1.2991206585437602,-0.9162978572970231,561.0
-1.2991206585437602,-0.8290313946973065,564.0
-1.2991206585437602,-0.7417649320975901,528.0
-1.2991206585437602,-0.6544984694978737,524.0
-1.2991206585437602,-0.5672320068981571,524.0
-1.2991206585437602,-0.4799655442984405,588.0
-1.2991206585437602,-0.39269908169872414,553.0
-1.2991206585437602,-0.30543261909900776,553.0
-1.2991206585437602,-0.21816615649929139,583.0
-1.2991206585437602,-0.1308996938995748,575.0
-1.2991206585437602,-0.04363323129985819,569.0
-1.2991206585437602,0.04363323129985819,538.0
-1.2991206585437602,0.13089969389957457,573.0
-1.2991206585437602,0.21816615649929116,539.0
-1.2991206585437602,0.30543261909900776,572.0
-1.2991206585437602,0.39269908169872414,563.0
-1.2991206585437602,0.4799655442984405,545.0
-1.2991206585437602,0.5672320068981569,567.0
-1.2991206585437602,0.6544984694978735,531.0
-1.2991206585437602,0.7417649320975901,576.0
-1.2991206585437602,0.8290313946973065,568.0
-1.2991206585437602,0.9162978572970228,528.0
-1.2991206585437602,1.0035643198967392,575.0
-1.2991206585437602,1.0908307824964556,609.0
-1.2991206585437602,1.178097245096172,498.0
-1.2991206585437602,1.2653637076958888,599.0
-1.2991206585437602,1.3526301702956056,535.0
-1.2991206585437602,1.439896632895322,582.0
-1.2991206585437602,1.5271630954950384,502.0
-1.2991206585437602,1.6144295580947547,592.0
-1.2991206585437602,1.7016960206944711,545.0
-1.2991206585437602,1.7889624832941875,536.0
-1.2991206585437602,1.8762289458939039,542.0
-1.2991206585437602,1.9634954084936203,574.0
-1.2991206585437602,2.050761871093337,535.0
-1.2991206585437602,2.138028333693054,526.0
-1.2991206585437602,2.2252947962927703,552.0
-1.2991206585437602,2.3125612588924866,582.0
-1.2991206585437602,2.399827721492203,572.0
-1.2991206585437602,2.4870941840919194,582.0
-1.2991206585437602,2.574360646691636,551.0
-1.2991206585437602,2.661627109291352,565.0
-1.2991206585437602,2.7488935718910685,584.0
-1.2991206585437602,2.8361600344907854,534.0
-1.2991206585437602,2.923426497090502,506.0
-1.2991206585437602,3.0106929596902186,575.0
-1.2991206585437602,3.097959422289935,571.0
-1.259152281975516,-3.097959422289935,661.0
-1.259152281975516,-3.0106929596902186,613.0
-1.259152281975516,-2.923426497090502,599.0
-1.259152281975516,-2.8361600344907854,644.0
-1.259152281975516,-2.748893571891069,650.0
-1.259152281975516,-2.6616271092913526,652.0
-1.259152281975516,-2.574360646691636,654.0
-1.259152281975516,-2.4870941840919194,659.0
-1.259152281975516,-2.399827721492203,641.0
-1.259152281975516,-2.3125612588924866,608.0
-1.259152281975516,-2.2252947962927703,615.0
-1.259152281975516,-2.138028333693054,645.0
-1.259152281975516,-2.0507618710933375,587.0
-1.259152281975516,-1.9634954084936207,586.0
-1.259152281975516,-1.8762289458939043,615.0
-1.259152281975516,-1.7889624832941877,657.0
-1.259152281975516,-1.7016960206944713,696.0
-1.259152281975516,-1.6144295580947547,614.0
-1.259152281975516,-1.5271630954950384,600.0
-1.259152281975516,-1.439896632895322,630.0
-1.259152281975516,-1.3526301702956054,639.0
-1.259152281975516,-1.2653637076958888,664.0
-1.259152281975516,-1.1780972450961724,629.0
-1.259152281975516,-1.090830782496456,609.0
-1.259152281975516,-1.0035643198967397,591.0
-1.259152281975516,-0.9162978572970231,638.0
